Date,Decade,Year,Month,Day,min,max,mean
1975-10-05 00:00:00,1970s,1975,10,5,48.0,72.0,60.0
1975-10-06 00:00:00,1970s,1975,10,6,56.0,78.0,67.0
1975-10-07 00:00:00,1970s,1975,10,7,48.0,67.0,57.5
1975-10-08 00:00:00,1970s,1975,10,8,45.0,73.0,59.0
1975-10-09 00:00:00,1970s,1975,10,9,58.0,64.0,61.0
1975-10-10 00:00:00,1970s,1975,10,10,57.0,61.0,59.0
1976-10-03 00:00:00,1970s,1976,10,3,58.0,65.0,61.5
1976-10-04 00:00:00,1970s,1976,10,4,59.0,73.0,66.0
1976-10-05 00:00:00,1970s,1976,10,5,56.0,68.0,62.0
1976-10-06 00:00:00,1970s,1976,10,6,56.0,73.0,64.5
1976-10-07 00:00:00,1970s,1976,10,7,61.0,76.0,68.5
1976-10-08 00:00:00,1970s,1976,10,8,65.0,73.0,69.0
1976-10-09 00:00:00,1970s,1976,10,9,49.0,75.0,62.0
1976-10-10 00:00:00,1970s,1976,10,10,44.0,62.0,53.0
1977-10-03 00:00:00,1970s,1977,10,3,47.0,65.0,56.0
1977-10-04 00:00:00,1970s,1977,10,4,45.0,72.0,58.5
1977-10-05 00:00:00,1970s,1977,10,5,44.0,72.0,58.0
1977-10-06 00:00:00,1970s,1977,10,6,47.0,66.0,56.5
1977-10-07 00:00:00,1970s,1977,10,7,45.0,68.0,56.5
1977-10-08 00:00:00,1970s,1977,10,8,47.0,61.0,54.0
1977-10-09 00:00:00,1970s,1977,10,9,49.0,72.0,60.5
1977-10-10 00:00:00,1970s,1977,10,10,46.0,64.0,55.0
1978-10-03 00:00:00,1970s,1978,10,3,43.0,70.0,56.5
1978-10-04 00:00:00,1970s,1978,10,4,53.0,67.0,60.0
1978-10-05 00:00:00,1970s,1978,10,5,51.0,64.0,57.5
1978-10-06 00:00:00,1970s,1978,10,6,50.0,72.0,61.0
1978-10-07 00:00:00,1970s,1978,10,7,44.0,64.0,54.0
1978-10-08 00:00:00,1970s,1978,10,8,39.0,61.0,50.0
1978-10-09 00:00:00,1970s,1978,10,9,35.0,64.0,49.5
1978-10-10 00:00:00,1970s,1978,10,10,36.0,73.0,54.5
1979-10-03 00:00:00,1970s,1979,10,3,61.0,73.0,67.0
1979-10-04 00:00:00,1970s,1979,10,4,53.0,76.0,64.5
1979-10-05 00:00:00,1970s,1979,10,5,49.0,68.0,58.5
1979-10-06 00:00:00,1970s,1979,10,6,44.0,66.0,55.0
1979-10-07 00:00:00,1970s,1979,10,7,47.0,65.0,56.0
1979-10-08 00:00:00,1970s,1979,10,8,42.0,65.0,53.5
1979-10-09 00:00:00,1970s,1979,10,9,47.0,69.0,58.0
1979-10-10 00:00:00,1970s,1979,10,10,34.0,47.0,40.5
1980-10-03 00:00:00,1980s,1980,10,3,52.0,58.0,55.0
1980-10-04 00:00:00,1980s,1980,10,4,47.0,65.0,56.0
1980-10-05 00:00:00,1980s,1980,10,5,50.0,65.0,57.5
1980-10-06 00:00:00,1980s,1980,10,6,43.0,64.0,53.5
1980-10-07 00:00:00,1980s,1980,10,7,41.0,67.0,54.0
1980-10-08 00:00:00,1980s,1980,10,8,43.0,74.0,58.5
1980-10-09 00:00:00,1980s,1980,10,9,50.0,81.0,65.5
1980-10-10 00:00:00,1980s,1980,10,10,53.0,60.0,56.5
1981-10-03 00:00:00,1980s,1981,10,3,42.0,61.0,51.5
1981-10-04 00:00:00,1980s,1981,10,4,39.0,66.0,52.5
1981-10-05 00:00:00,1980s,1981,10,5,54.0,78.0,66.0
1981-10-06 00:00:00,1980s,1981,10,6,52.0,73.0,62.5
1981-10-07 00:00:00,1980s,1981,10,7,52.0,62.0,57.0
1981-10-08 00:00:00,1980s,1981,10,8,42.0,62.0,52.0
1981-10-09 00:00:00,1980s,1981,10,9,39.0,62.0,50.5
1981-10-10 00:00:00,1980s,1981,10,10,37.0,58.0,47.5
1982-10-03 00:00:00,1980s,1982,10,3,44.0,75.0,59.5
1982-10-04 00:00:00,1980s,1982,10,4,57.0,78.0,67.5
1982-10-05 00:00:00,1980s,1982,10,5,62.0,76.0,69.0
1982-10-06 00:00:00,1980s,1982,10,6,62.0,78.0,70.0
1982-10-07 00:00:00,1980s,1982,10,7,60.0,80.0,70.0
1982-10-08 00:00:00,1980s,1982,10,8,58.0,82.0,70.0
1982-10-09 00:00:00,1980s,1982,10,9,59.0,79.0,69.0
1982-10-10 00:00:00,1980s,1982,10,10,46.0,59.0,52.5
1983-10-03 00:00:00,1980s,1983,10,3,54.0,80.0,67.0
1983-10-04 00:00:00,1980s,1983,10,4,53.0,85.0,69.0
1983-10-05 00:00:00,1980s,1983,10,5,60.0,83.0,71.5
1983-10-06 00:00:00,1980s,1983,10,6,55.0,76.0,65.5
1983-10-07 00:00:00,1980s,1983,10,7,46.0,72.0,59.0
1983-10-08 00:00:00,1980s,1983,10,8,45.0,73.0,59.0
1983-10-09 00:00:00,1980s,1983,10,9,49.0,74.0,61.5
1983-10-10 00:00:00,1980s,1983,10,10,55.0,66.0,60.5
1984-10-03 00:00:00,1980s,1984,10,3,40.0,67.0,53.5
1984-10-04 00:00:00,1980s,1984,10,4,47.0,70.0,58.5
1984-10-05 00:00:00,1980s,1984,10,5,48.0,69.0,58.5
1984-10-06 00:00:00,1980s,1984,10,6,47.0,63.0,55.0
1984-10-07 00:00:00,1980s,1984,10,7,48.0,61.0,54.5
1984-10-08 00:00:00,1980s,1984,10,8,48.0,69.0,58.5
1984-10-09 00:00:00,1980s,1984,10,9,57.0,71.0,64.0
1984-10-10 00:00:00,1980s,1984,10,10,57.0,71.0,64.0
1985-10-03 00:00:00,1980s,1985,10,3,57.0,60.0,58.5
1985-10-04 00:00:00,1980s,1985,10,4,59.0,68.0,63.5
1985-10-05 00:00:00,1980s,1985,10,5,50.0,69.0,59.5
1985-10-06 00:00:00,1980s,1985,10,6,43.0,63.0,53.0
1985-10-07 00:00:00,1980s,1985,10,7,41.0,65.0,53.0
1985-10-08 00:00:00,1980s,1985,10,8,40.0,69.0,54.5
1985-10-09 00:00:00,1980s,1985,10,9,48.0,76.0,62.0
1985-10-10 00:00:00,1980s,1985,10,10,54.0,80.0,67.0
1986-10-03 00:00:00,1980s,1986,10,3,65.0,78.0,71.5
1986-10-04 00:00:00,1980s,1986,10,4,73.0,81.0,77.0
1986-10-05 00:00:00,1980s,1986,10,5,60.0,78.0,69.0
1986-10-06 00:00:00,1980s,1986,10,6,46.0,64.0,55.0
1986-10-07 00:00:00,1980s,1986,10,7,38.0,64.0,51.0
1986-10-08 00:00:00,1980s,1986,10,8,40.0,77.0,58.5
1986-10-09 00:00:00,1980s,1986,10,9,56.0,79.0,67.5
1986-10-10 00:00:00,1980s,1986,10,10,46.0,58.0,52.0
1987-10-03 00:00:00,1980s,1987,10,3,46.0,60.0,53.0
1987-10-04 00:00:00,1980s,1987,10,4,39.0,59.0,49.0
1987-10-05 00:00:00,1980s,1987,10,5,38.0,68.0,53.0
1987-10-06 00:00:00,1980s,1987,10,6,45.0,71.0,58.0
1987-10-07 00:00:00,1980s,1987,10,7,46.0,65.0,55.5
1987-10-08 00:00:00,1980s,1987,10,8,39.0,59.0,49.0
1987-10-09 00:00:00,1980s,1987,10,9,33.0,61.0,47.0
1987-10-10 00:00:00,1980s,1987,10,10,47.0,68.0,57.5
1988-10-03 00:00:00,1980s,1988,10,3,58.0,66.0,62.0
1988-10-04 00:00:00,1980s,1988,10,4,50.0,68.0,59.0
1988-10-05 00:00:00,1980s,1988,10,5,42.0,62.0,52.0
1988-10-06 00:00:00,1980s,1988,10,6,37.0,62.0,49.5
1988-10-07 00:00:00,1980s,1988,10,7,37.0,57.0,47.0
1988-10-08 00:00:00,1980s,1988,10,8,38.0,60.0,49.0
1988-10-09 00:00:00,1980s,1988,10,9,34.0,64.0,49.0
1988-10-10 00:00:00,1980s,1988,10,10,42.0,69.0,55.5
1989-10-03 00:00:00,1980s,1989,10,3,53.0,75.0,64.0
1989-10-04 00:00:00,1980s,1989,10,4,42.0,61.0,51.5
1989-10-05 00:00:00,1980s,1989,10,5,44.0,69.0,56.5
1989-10-06 00:00:00,1980s,1989,10,6,51.0,71.0,61.0
1989-10-07 00:00:00,1980s,1989,10,7,40.0,64.0,52.0
1989-10-08 00:00:00,1980s,1989,10,8,37.0,59.0,48.0
1989-10-09 00:00:00,1980s,1989,10,9,38.0,56.0,47.0
1989-10-10 00:00:00,1980s,1989,10,10,36.0,62.0,49.0
1990-10-03 00:00:00,1990s,1990,10,3,44.0,74.0,59.0
1990-10-04 00:00:00,1990s,1990,10,4,50.0,77.0,63.5
1990-10-05 00:00:00,1990s,1990,10,5,47.0,79.0,63.0
1990-10-06 00:00:00,1990s,1990,10,6,54.0,84.0,69.0
1990-10-07 00:00:00,1990s,1990,10,7,52.0,84.0,68.0
1990-10-08 00:00:00,1990s,1990,10,8,57.0,84.0,70.5
1990-10-09 00:00:00,1990s,1990,10,9,68.0,86.0,77.0
1990-10-10 00:00:00,1990s,1990,10,10,65.0,83.0,74.0
1991-10-03 00:00:00,1990s,1991,10,3,63.0,80.0,71.5
1991-10-04 00:00:00,1990s,1991,10,4,60.0,85.0,72.5
1991-10-05 00:00:00,1990s,1991,10,5,62.0,80.0,71.0
1991-10-06 00:00:00,1990s,1991,10,6,43.0,71.0,57.0
1991-10-07 00:00:00,1990s,1991,10,7,35.0,60.0,47.5
1991-10-08 00:00:00,1990s,1991,10,8,36.0,65.0,50.5
